Customer_id,State,Area,TimeZone,Children,Age,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8
I367206,IA,Urban,America/Chicago,3,52,27442.03,Widowed,Male,No,9.372975594,16,1,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,6.652298992,124.964303,713.0633088,3,3,3,2,2,3,5,5
N37182,ME,Urban,America/New_York,2,68,79699.62,Divorced,Male,No,7.109002592,9,0,0,No,One year,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,Electronic Check,8.543717478,149.948316,945.3802928,4,4,3,5,3,4,4,3
U644626,OH,Rural,America/New_York,3,75,28520.32,Widowed,Female,Yes,13.74777955,15,1,0,No,Month-to-month,No,Yes,None,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Credit Card (automatic),5.770390256,162.511928,870.76398,3,3,4,2,4,4,3,4
A766555,FL,Suburban,America/New_York,1,77,12558.83,Separated,Male,Yes,9.767668044,12,1,0,No,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,No,No,No,No,Bank Transfer(automatic),4.157658837,92.455141,774.2937069,4,4,4,4,2,4,5,5
V54032,NM,Rural,America/Denver,1,47,8762.23,Married,Female,Yes,15.8626095,15,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Mailed Check,10.40566091,222.649979,1506.446527,5,3,5,3,3,5,4,4
Z301326,MI,Urban,America/Detroit,0,70,43882.72,Widowed,Female,Yes,14.73616645,12,0,0,No,Month-to-month,Yes,No,None,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,1.392421597,139.981577,419.0508708,2,2,3,4,4,2,2,2
J887250,VT,Urban,America/New_York,3,20,10482.52,Separated,Female,Yes,13.43558029,13,2,0,Yes,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,No,Bank Transfer(automatic),1.430386349,200.132293,1259.415493,3,4,3,3,2,4,4,2
Z686376,MD,Suburban,America/New_York,4,69,33442.79,Never Married,Male,Yes,10.61771118,18,1,0,No,Two Year,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit Card (automatic),5.425864884,257.651257,1745.125956,4,4,4,3,2,5,5,4
L357432,NY,Urban,America/New_York,9,45,43383.54,Married,Male,No,6.613070806,14,0,0,No,Two Year,Yes,No,Fiber Optic,No,No,No,Yes,No,No,Yes,Yes,Yes,Credit Card (automatic),11.08287797,230.105118,1795.465729,3,2,1,5,3,3,3,2
V899967,OH,Rural,America/New_York,0,40,21793.88,Never Married,Female,No,4.450171647,13,2,0,No,Two Year,No,Yes,None,Yes,Yes,No,Yes,No,Yes,No,No,No,Electronic Check,3.586184954,147.489301,492.4771472,2,3,4,3,3,2,4,3
G571225,WA,Rural,America/Los_Angeles,6,82,51960.51,Divorced,Female,Yes,8.774646693,9,0,0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Electronic Check,4.727388465,230.105118,1013.993166,4,4,4,5,2,5,3,5
S381541,MI,Rural,America/Detroit,5,74,25942.1,Separated,Male,Yes,11.13156721,8,1,1,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Electronic Check,20.89923386,174.958118,2680.762173,5,5,4,3,5,3,4,1
R195593,IL,Urban,America/Chicago,4,69,11211.59,Widowed,Male,Yes,5.540788887,15,1,0,No,One year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,3.471329958,267.664655,1081.814362,6,5,5,5,2,6,5,5
I327596,MI,Suburban,America/Detroit,1,52,8283.29,Never Married,Male,Yes,13.80362698,11,0,1,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Mailed Check,5.478588204,162.483267,1209.961168,4,2,3,4,3,3,4,3
U790894,CT,Suburban,America/New_York,2,26,10114.81,Never Married,Female,Yes,16.31017089,16,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Credit Card (automatic),3.312991809,229.993134,897.5919144,4,3,5,5,2,4,5,5
O739489,NJ,Urban,America/New_York,1,25,36229.21,Never Married,Female,No,9.447065309,9,2,0,No,One year,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Electronic Check,7.161561527,140.00128,1340.930156,5,6,4,2,5,3,3,3
I958127,DC,Suburban,America/New_York,1,66,25397.44,Divorced,Female,No,16.84100845,12,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Credit Card (automatic),9.847563364,184.964681,1113.993679,4,4,3,4,2,4,4,5
Z666770,PA,Suburban,America/New_York,1,72,50336.5,Divorced,Male,No,7.972937227,10,1,1,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,Electronic Check,16.04202196,147.473844,1530.10769,3,4,3,6,4,4,6,2
X711438,NJ,Urban,America/New_York,3,21,38211.37,Divorced,Female,No,11.42906608,12,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Mailed Check,9.179779682,172.457857,1310.137419,5,2,3,3,3,5,4,4
U369541,PA,Suburban,America/New_York,3,55,52887.26,Married,Male,No,8.06137096,16,2,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,Yes,No,No,Yes,Electronic Check,3.002844144,107.481989,892.8964931,3,3,2,3,5,4,3,3
S896111,OK,Suburban,America/Chicago,4,41,12003.33,Divorced,Male,Yes,12.54780492,11,1,2,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Credit Card (automatic),3.924254455,255.141716,1125.581944,3,3,3,5,1,4,3,4
K227200,PA,Suburban,America/New_York,4,32,24090.62,Never Married,Male,No,8.255565152,13,0,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Electronic Check,18.55959629,192.456745,2016.710031,3,3,3,3,4,3,3,4
E818912,NY,Rural,America/New_York,0,22,15137.93,Never Married,Female,Yes,13.156514,6,0,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Credit Card (automatic),8.798394712,242.632554,1412.736809,4,4,4,4,3,4,3,4
Y490834,MI,Urban,America/Menominee,2,44,54458.38,Divorced,Female,Yes,10.58349704,5,1,0,No,Month-to-month,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,10.377366,245.174977,1710.689671,3,3,2,2,4,3,5,2
B609739,IL,Suburban,America/Chicago,2,23,132116.33,Divorced,Male,Yes,12.50184778,11,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Bank Transfer(automatic),22.25746016,184.964681,2384.885909,4,4,5,2,2,4,3,3
E687638,WA,Suburban,America/Los_Angeles,3,43,37358.13,Never Married,Female,Yes,9.750038902,11,1,0,Yes,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Credit Card (automatic),9.427146079,195.006206,1213.940165,4,5,3,4,3,3,4,3
E492264,TN,Rural,America/New_York,1,86,26534.16,Separated,Female,No,7.868660851,11,2,2,No,Two Year,Yes,No,None,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),7.760290062,104.962874,740.010722,3,4,3,2,3,3,3,3
W255321,ND,Suburban,America/Chicago,2,84,76430.83,Married,Female,No,12.43563329,14,0,1,No,Month-to-month,No,Yes,None,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,11.56938439,92.488023,897.9716153,3,3,4,3,5,3,3,4
S72442,AL,Urban,America/Chicago,2,62,4662.37,Separated,Female,Yes,8.957166926,13,3,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Bank Transfer(automatic),3.343811019,184.979684,1026.387172,2,2,3,4,3,5,2,4
O845020,NC,Urban,America/New_York,5,68,43820.85,Divorced,Female,Yes,8.015021713,12,1,0,No,Month-to-month,Yes,No,None,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),7.338869531,187.656013,1234.244324,2,3,3,5,4,2,3,2
D805597,LA,Suburban,America/Chicago,1,59,38391.55,Never Married,Female,No,4.210347704,8,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,Yes,Electronic Check,5.486534225,149.962093,727.3731845,4,4,4,3,4,2,5,4
R189303,IA,Urban,America/Chicago,0,31,44137.6,Separated,Female,Yes,11.13960534,6,0,0,Yes,One year,No,No,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),1.55278221,169.944668,452.8721504,4,4,3,4,4,4,2,3
N142854,NE,Urban,America/Chicago,0,51,14364.65,Widowed,Male,Yes,9.03738856,11,2,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Mailed Check,12.07970325,160.00128,1296.674543,4,2,4,5,4,3,3,4
F522569,WV,Suburban,America/New_York,1,58,62359.91,Separated,Female,No,10.91594785,11,1,1,No,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,No,No,Mailed Check,13.98666226,129.962093,1840.628269,3,4,3,6,3,4,5,3
L384793,TX,Suburban,America/Chicago,1,73,82634.86,Married,Male,Yes,8.387624096,11,0,1,No,Month-to-month,No,No,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Electronic Check,9.563362997,114.950905,1324.330108,5,4,3,5,3,3,5,4
C101444,CA,Rural,America/Los_Angeles,1,33,15690.25,Widowed,Female,No,11.4487514,11,0,1,No,Two Year,No,No,None,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Mailed Check,6.732948946,142.515576,958.1397059,4,5,5,5,4,4,4,5
E987442,WI,Suburban,America/Chicago,1,58,14568.7,Separated,Male,Yes,10.22013704,15,2,0,No,Two Year,Yes,No,None,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Credit Card (automatic),15.72071086,220.14775,1868.864027,3,5,3,2,4,5,5,4
L54611,GA,Rural,America/New_York,0,49,29207.46,Never Married,Female,No,8.425458142,9,1,0,No,Two Year,No,No,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Yes,Electronic Check,7.233605493,124.97808,676.712908,5,5,3,4,4,5,5,4
L85018,OK,Suburban,America/Chicago,1,26,55319.23,Never Married,Female,No,8.386280619,12,1,0,No,One year,No,Yes,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Mailed Check,2.871017037,164.964681,1086.990308,5,5,4,4,3,4,4,4
O942919,IL,Urban,America/Chicago,1,25,81831.49,Widowed,Male,No,9.565924291,10,3,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Electronic Check,2.344875382,194.976769,704.7540406,3,4,3,2,3,4,2,4
I167253,PA,Rural,America/New_York,0,42,100076.65,Separated,Female,Yes,10.79349982,14,3,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Mailed Check,7.960490246,152.455519,1416.444695,5,5,5,4,3,2,4,4
R110564,AZ,Rural,America/Phoenix,1,81,69965.65,Widowed,Male,No,6.081975067,15,0,0,No,Month-to-month,No,Yes,None,Yes,No,No,No,Yes,No,No,No,No,Mailed Check,12.25062113,92.5018,1095.950634,5,5,5,3,4,3,2,5
M278354,NC,Suburban,America/New_York,1,43,34883.69,Divorced,Female,No,13.55065547,13,0,0,Yes,Month-to-month,No,Yes,None,Yes,No,No,No,Yes,No,No,Yes,Yes,Electronic Check,9.634946079,127.488728,1083.610268,4,4,4,3,4,4,3,3
W604879,CA,Urban,America/Los_Angeles,2,63,45634.2,Never Married,Male,No,9.470419821,14,1,0,No,Two Year,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Bank Transfer(automatic),7.916533093,184.963371,1570.641337,3,4,3,3,4,4,4,3
X345797,IL,Suburban,America/Chicago,3,70,10964.73,Married,Female,Yes,6.194985909,11,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Bank Transfer(automatic),4.471254161,265.146969,1007.425553,3,3,2,4,4,3,3,3
N189653,MO,Urban,America/Chicago,1,78,22365.28,Widowed,Male,Yes,10.80393657,19,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,Bank Transfer(automatic),10.79028074,207.609354,1323.028419,4,4,3,6,2,5,7,4
M562102,TX,Urban,America/Chicago,0,48,52636.6,Separated,Male,No,7.903964267,17,0,1,No,Month-to-month,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,No,No,Electronic Check,12.24190682,152.462354,1808.730555,3,1,2,2,5,2,2,1
X67911,WY,Suburban,America/Denver,1,63,19048.13,Separated,Female,Yes,11.27443693,18,2,1,Yes,Month-to-month,Yes,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),2.203859443,200.132293,1120.241472,4,4,4,5,4,4,4,3
O834546,OR,Urban,America/Los_Angeles,4,60,42784.82,Married,Female,Yes,6.129509309,12,0,0,No,One year,Yes,Yes,None,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Electronic Check,23.92132231,212.655686,2676.789803,5,5,6,5,3,7,5,5
I493092,OH,Rural,America/New_York,0,87,77996.88,Divorced,Male,Yes,7.969277912,17,0,0,Yes,One year,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Bank Transfer(automatic),3.7311787,255.119794,1268.086909,3,3,4,5,4,3,5,4
H787644,OH,Suburban,America/New_York,3,54,47507.3,Married,Female,No,4.368120492,9,0,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Yes,Bank Transfer(automatic),7.980015371,134.950905,822.6771666,2,3,3,3,5,2,2,3
N582710,MT,Urban,America/Denver,3,35,7724.73,Divorced,Male,Yes,6.258356398,9,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic Check,9.190009376,255.137219,1577.915603,4,3,2,3,3,3,3,4
T689606,CA,Urban,America/Los_Angeles,1,70,1509.52,Never Married,Male,Yes,12.92303286,16,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Bank Transfer(automatic),2.378630018,214.966286,648.7471776,4,4,4,5,2,3,4,4
E330599,CA,Rural,America/Los_Angeles,2,67,81124.71,Married,Female,Yes,12.43301273,13,0,0,No,One year,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Electronic Check,5.43464555,270.160419,1648.102673,3,3,4,3,5,3,3,4
C641592,VA,Rural,America/New_York,4,46,11795.57,Widowed,Female,Yes,7.607663559,11,0,0,No,Two Year,No,No,None,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Electronic Check,1.092361222,200.165175,768.0874545,1,1,2,2,3,1,3,2
E24772,KY,Urban,America/Chicago,1,50,74794.84,Never Married,Male,No,7.442789019,10,2,1,No,Two Year,No,No,DSL,Yes,No,No,Yes,No,No,No,Yes,No,Bank Transfer(automatic),20.13981517,149.937833,2426.030626,2,2,3,4,3,3,4,4
A889769,IL,Rural,America/Chicago,1,24,19038.78,Never Married,Female,Yes,13.04429298,18,1,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Mailed Check,24.64873861,240.114868,2660.503932,4,4,5,1,4,4,3,3
G391761,MN,Rural,America/Chicago,0,20,79167.77,Divorced,Male,No,14.89762162,17,0,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,Yes,Credit Card (automatic),9.677739656,127.495766,1129.549713,3,4,3,4,5,4,3,3
A606860,FL,Urban,America/New_York,1,29,37428.26,Married,Female,Yes,13.79387475,13,2,1,No,One year,Yes,No,DSL,Yes,No,No,No,No,No,Yes,Yes,No,Electronic Check,9.82814183,187.609354,1771.286466,3,4,3,2,5,3,3,4
E186097,PA,Rural,America/New_York,0,31,45148.38,Divorced,Male,No,15.66367593,6,1,0,Yes,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,No,No,Credit Card (automatic),7.832238337,169.992756,943.3391244,3,3,3,4,4,3,4,4
I627613,MI,Urban,America/Menominee,5,72,74855.47,Separated,Female,No,8.513410306,13,3,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,No,Mailed Check,19.45250317,192.456745,1907.226083,4,4,4,3,1,5,4,4
Z188641,KY,Urban,America/Chicago,4,71,45323.86,Divorced,Male,No,8.265002035,10,1,0,No,Month-to-month,No,Yes,DSL,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Credit Card (automatic),14.34766616,120.004928,1885.939118,4,4,3,3,4,3,2,5
A740543,KS,Suburban,America/Chicago,2,32,71596.14,Divorced,Female,No,8.6026551,11,0,0,No,One year,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Bank Transfer(automatic),2.257358355,195.006206,631.7435653,5,3,5,5,3,3,5,2
W681476,VA,Rural,America/New_York,0,33,10389.95,Never Married,Male,No,6.03993035,15,1,0,No,One year,No,No,Fiber Optic,Yes,No,Yes,No,No,No,Yes,No,Yes,Credit Card (automatic),2.358129018,139.95684,562.6095219,3,3,4,3,3,4,3,6
G842176,PA,Suburban,America/New_York,3,67,19657.14,Widowed,Male,No,14.6040829,12,3,0,Yes,Month-to-month,No,No,None,Yes,No,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),4.650578623,114.983787,593.8572264,3,3,2,2,5,4,2,3
Z852663,IL,Suburban,America/Chicago,0,66,27827.03,Divorced,Female,Yes,7.274007029,13,1,1,No,Month-to-month,Yes,No,None,Yes,Yes,No,No,No,No,Yes,Yes,No,Electronic Check,3.721772616,207.638588,777.3060718,4,3,3,6,1,4,3,3
C73741,CT,Rural,America/New_York,4,21,15609.05,Separated,Female,Yes,8.913898759,12,4,0,No,Month-to-month,Yes,No,DSL,Yes,No,No,No,No,No,Yes,Yes,Yes,Electronic Check,3.76663012,187.609354,1393.202392,4,4,4,3,3,3,3,5
W258972,CA,Urban,America/Los_Angeles,0,61,19815.63,Never Married,Female,No,11.59313893,13,0,2,No,One year,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Yes,Bank Transfer(automatic),4.151256695,134.950905,393.6524652,3,2,3,4,3,4,5,4
G491883,NC,Rural,America/New_York,0,75,58482.9,Separated,Female,Yes,8.294186076,13,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Mailed Check,2.188918771,192.470522,409.7486664,3,3,3,3,3,4,3,3
C302549,MA,Urban,America/New_York,0,63,41656.53,Widowed,Female,Yes,15.19664016,9,1,0,No,Month-to-month,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Mailed Check,13.85488928,222.628057,2138.107161,3,2,3,2,4,3,2,4
K581313,MI,Suburban,America/Detroit,0,68,115510.46,Separated,Female,No,5.083995994,3,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Electronic Check,3.273341151,162.468917,443.984031,2,2,2,4,3,3,4,3
T46150,LA,Suburban,America/Chicago,2,32,15841.19,Never Married,Male,Yes,6.942719201,7,1,1,No,Two Year,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,No,No,No,Electronic Check,19.75096265,159.979358,2481.385603,2,2,3,3,3,3,3,3
B260505,FL,Suburban,America/New_York,0,76,81127.41,Never Married,Male,No,9.834012571,7,1,0,No,Two Year,No,Yes,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Mailed Check,18.38404445,184.979684,2233.567181,3,2,3,4,2,4,5,3
W877056,TX,Suburban,America/Chicago,0,29,24270.88,Divorced,Female,Yes,11.0596826,13,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit Card (automatic),4.672610857,245.145743,1158.91369,5,5,4,5,1,5,5,4
M478246,IL,Rural,America/Chicago,0,83,54466.33,Married,Female,No,8.834079073,17,0,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,No,No,No,No,Electronic Check,6.796299371,124.97808,529.40733,4,4,4,3,2,4,3,4
N417817,IL,Suburban,America/Chicago,10,23,64816.84,Divorced,Male,Yes,5.271228601,14,1,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Mailed Check,12.97632235,187.484705,1956.7337,3,2,2,4,3,2,3,2
